GenomeRep	Count	CentDist
OV195924.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	614788	0.000573535433352635
OM664849.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MI-CDC-STM-V8ENJW34W_2022__complete_genome	338433	0.000294447063377389
ON060055.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_IND_LNHD181_2022__complete_genome	301805	0.000383018207120492
OP564021.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_GA-CDC-STM-E7UWG448K_2022__complete_genome	144901	0.000538525427705813
OV039277.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_165_genome_assembly__chromosome-_165	142657	0.000501812515333983
OU086730.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	117683	0.000609641808927373
OP911575.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_NJ-CDC-STM-A36ZB7TZE_2022__complete_genome	37543	0.000483560930133447
OM159748.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_IN-CDC-STM-DGYK4PE25_2021__complete_genome	28238	0.000637163680147319
ON485845.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_MEX_NAY-4_2326_2021__complete_genome	25472	0.000575198217650754
OP865687.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MI-CDC-STM-KHRE8J7KE_2022__complete_genome	18037	0.000572426733935799
OL358423.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_FL-CDC-STM-000744052_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	17480	0.000599270823798627
OU187698.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	16877	0.000641215263376192
OP506093.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MO-CDC-STM-6THW4Z8VQ_2022__complete_genome	15232	0.000538265165441177
MZ097527.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_OH-UHTL-630_2021__complete_genome	14360	0.000376233844011142
OL956730.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_OH-UHTL-1549_2021__complete_genome	13835	0.000609264907842429
MZ376393.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_OR-CDC-ASC210105801_2021__complete_genome	13593	0.000579405061428677
MZ215058.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_IL-CDC-ASC210032638_2021__complete_genome	13087	0.000630104072743944
OK295791.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_NJ-CDC-ASC210051247_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__and_ORF7a_protein_{ORF7a}_genes__complete_cds__ORF7b_gene__complete_sequence__and_ORF8_protein_{ORF8}__nucleocapsid_phosphoprotein_{N}__and_ORF10_protein_{ORF10}_genes__complete_cds	12908	0.00058253385497366
OU076650.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	8716	0.000525167622762735
OP791133.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_NJ-CDC-LC0920615_2022__complete_genome	8190	0.000613032600732601
OP789800.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_OH-CDC-QDX42814099_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	8019	0.00062744793615164
OL932981.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_IN-CDC-STM-U7SBGF6B4_2021__complete_genome	7540	0.000595821220159151
OL532775.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MN-CDC-STM-000708531_2021__complete_genome	7375	0.000210058169491525
MZ498683.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_WV120897_2021__complete_genome	7157	0.000617219225932653
OK439347.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_PA-CDC-STM-000017453_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__and_membrane_glycoprotein_{M}_genes__complete_cds__ORF6_gene__complete_sequence__and_ORF7a_protein_{ORF7a}__ORF7b_{ORF7b}__ORF8_protein_{ORF8}__nucleocapsid_phosphoprotein_{N}__and_ORF10_protein_{ORF10}_genes__complete_cds	6812	0.000442327950675279
OK246487.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_VSP2767_2021__complete_genome	6538	0.000456024472315693
OM053553.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MI-CDC-STM-EXE8W69U5_2021__complete_genome	6290	0.00061442893481717
OL896287.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MA-CDC-STM-9VGN388AA_2021__complete_genome	6235	0.000548882117080994
OP622010.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MI-CDC-QDX42001015_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__and_surface_glycoprotein_{S}_genes__complete_cds__ORF3a_gene__complete_sequence__and_envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__ORF7b_{ORF7b}__ORF8_protein_{ORF8}__nucleocapsid_phosphoprotein_{N}__and_ORF10_protein_{ORF10}_genes__complete_cds	5811	0.000636223369471692
OP943326.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-STM-3S28WDRPP_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__and_ORF7a_protein_{ORF7a}_genes__complete_cds__ORF7b_gene__complete_sequence__and_ORF8_protein_{ORF8}__nucleocapsid_phosphoprotein_{N}__and_ORF10_protein_{ORF10}_genes__complete_cds	5604	0.000596799607423269
OP504346.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_TX-CDC-STM-D92PFP9Q5_2022__complete_genome	5155	0.000555728225024248
OU701775.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_hCoV-19_Switzerland_SG-ETHZ-670115_2021_genome_assembly__chromosome-_1	4951	0.000595033124621289
OL532672.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_FL-CDC-STM-000706684_2021__complete_genome	4934	0.000609282934738549
OP858427.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-QDX43165432_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	4590	0.000621650762527233
MZ429179.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_PA-CDC-2-4462029_2021__complete_genome	4377	0.000553797349782956
OP998415.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_UT-UPHL-221206168156_2022__complete_genome	4044	0.000655613996043521
OP988886.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-STM-2AJSWFZQ8_2022__complete_genome	3984	0.000547528614457831
OP624595.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MI-CDC-QDX41800477_2022__complete_genome	3751	0.000614952545987737
OP804030.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_UT-UPHL-221031685982_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__and_ORF7a_protein_{ORF7a}_genes__complete_cds__ORF7b_gene__complete_sequence__and_ORF8_protein_{ORF8}__nucleocapsid_phosphoprotein_{N}__and_ORF10_protein_{ORF10}_genes__complete_cds	3688	0.000647883676789588
MZ579390.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_VSP5003_2021__complete_genome	3498	0.000579202687249857
OX376478.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_hCoV-19_Switzerland_BL-ETHZ-38005842_2022_genome_assembly__chromosome-_1	3379	0.000625494229061853
OW527658.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	3320	0.000321179819277108
OP955293.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_VA-CDC-LC0940564_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__ORF7b_{ORF7b}__ORF8_protein_{ORF8}__and_nucleocapsid_phosphoprotein_{N}_genes__complete_cds	3196	0.000589023466833542
MW969370.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_TX-CDC-ASC210020066_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	3087	0.000677723032069971
OV694457.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	3082	0.000625851719662557
OP945019.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_NJ-CDC-QDX43725784_2022__complete_genome	3075	0.000654082276422764
OL805809.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_PA-CDC-STM-2HE5Y2E4Q_2021__complete_genome	3067	0.000635467557874144
OP514284.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_IL-CDC-QDX41282920_2022__complete_genome	2966	0.000607555293324343
OV625368.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	2916	0.000606388888888889
OP943607.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-STM-97G5F7AVB_2022__complete_genome	2809	0.000508324314702741
MZ685851.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_ALTCOV-EP7FAQPV2VDWVMQQ_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	2704	0.000618339127218935
OL804654.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_TX-CDC-STM-7TECJC9RS_2021__complete_genome	2672	0.000620299401197605
OV223748.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	2626	0.000617948971820259
MZ455115.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MN-UMGC-3558_2021__complete_genome	2616	0.000564845565749235
OV589859.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	2505	0.000543584431137725
OM193121.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_OKPHLCOV0007178_2021__complete_genome	2427	0.000628325092707046
OP911848.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_IN-CDC-STM-3D8ECY7RT_2022__complete_genome	2391	0.000612233375156838
OP987537.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-STM-3C2RPPT89_2022__complete_genome	2367	0.000628764258555133
OM171670.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-FG-224040_2021__complete_genome	2359	0.000611572700296736
OP875361.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-LC0932020_2022__complete_genome	2333	0.000606249892841835
OL910541.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MA-CDCBI-CRSP_GHVCR43IWY46DOPX_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	2296	0.000587844947735192
OL864736.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_MI-CDC-STM-WNJ9JZKUN_2021__complete_genome	2204	0.000509770417422868
MZ714395.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_OH-UHTL-1093_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	2193	0.000605816689466484
OV224074.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	2180	0.000645042660550459
OK497383.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-ASC210408774_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	2151	0.000623555555555556
MZ386541.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_IA-CDC-ASC210107163_2021__complete_genome	2117	0.000582403401039206
MZ410126.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CT-CDC-QDX25497799_2021__complete_genome	2106	0.000621781101614435
OV472179.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	2063	0.000604143480368396
OL649633.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_GA-CDC-STM-5H3AQ6ETT_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	2048	0.0006386572265625
OP542879.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-QDX41379544_2022__complete_genome	2038	0.000605383218842002
OM245549.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_UT-UPHL-211230376546_2021__complete_genome	2024	0.000608013833992095
MZ315252.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_FL-CDC-STM-000071932_2021__complete_genome	2005	0.000602504239401496
OL824264.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-FG-185922_2021__complete_genome	1976	0.000593730769230769
ON580346.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_BRA_SP-NVBS8216GENOV828240370482_2021__complete_genome	1938	0.000659412796697626
MW966463.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_PA-CDC-ASC210007558_2021__complete_genome	1932	0.000590497929606625
MZ576114.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_LA-BIE-LSUH000962_2021__complete_genome	1917	0.000584504955659885
OM054052.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_PA-CDC-STM-AQEVKCKBT_2021__complete_genome	1864	0.000554677038626609
OV223847.1_|Severe_acute_respiratory_syndrome_coronavirus_2_genome_assembly__chromosome-_1	1858	0.000612653928955867
OV341792.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_hCoV-19_Switzerland_AG-ETHZ-35213074_2021_genome_assembly__chromosome-_1	1852	0.000481066954643629
OL522467.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_FL-CDC-STM-000704345_2021__complete_genome	1829	0.00054184581738655
OP783112.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_GA-CDC-STM-8A8MAWQJK_2022__complete_genome	1813	0.000623365692222835
OV104318.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_RNA_genome_assembly__complete_genome-_monopartite	1748	0.000654962814645309
MW837457.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_UT-UPHL-2103675332_2021__complete_genome	1716	0.000558529137529137
OP336281.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_FL-CDC-QDX40272315_2022__complete_genome	1695	0.000588182890855457
OL865019.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_TX-CDC-STM-RBD33DBUN_2021__complete_genome	1683	0.000586524658348188
OM794138.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_UT-UPHL-220213457822_2022__complete_genome	1670	0.000604473652694611
OL864840.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_AZ-CDC-STM-V3NDQNGSN_2021_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__and_ORF6_protein_{ORF6}_genes__complete_cds__ORF7a_gene__complete_sequence__and_ORF7b_{ORF7b}__ORF8_protein_{ORF8}__nucleocapsid_phosphoprotein_{N}__and_ORF10_protein_{ORF10}_genes__complete_cds	1599	0.000493386491557223
OL820318.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CO-CDPHE-2102228486_2021__complete_genome	1515	0.000607442904290429
MZ164748.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_CA-CDC-2-4307912_2021__complete_genome	1480	0.000629633108108108
OP129218.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_UT-UPHL-220722339567_2022_ORF1ab_polyprotein_{ORF1ab}__ORF1a_polyprotein_{ORF1ab}__surface_glycoprotein_{S}__ORF3a_protein_{ORF3a}__envelope_protein_{E}__membrane_glycoprotein_{M}__ORF6_protein_{ORF6}__ORF7a_protein_{ORF7a}__and_ORF7b_{ORF7b}_genes__complete_cds__ORF8_gene__complete_sequence__and_nucleocapsid_phosphoprotein_{N}_and_ORF10_protein_{ORF10}_genes__complete_cds	1472	0.000602844429347826
OM372301.1_|Severe_acute_respiratory_syndrome_coronavirus_2_isolate_SARS-CoV-2_human_USA_NJ-CDC-STM-NQBHU9FHK_2022__complete_genome	1454	0.000660323246217331
